Beds,Bath,Sqft,Price,Address,latitude,longitude
2.0,1.0,1200.0,240000.0,"2782 Hwy 362  NS, Canada",45.04647068,-65.06486906
3.0,1.0,1630.0,225000.0,"1368 Forties Rd.  NS, Canada",44.73421590607276,-64.53980684391512
5.0,2.0,2721.0,690000.0,"2591 Clarence Road  NS, Canada",44.90434032588968,-65.21843098914215
15.0,6.0,6630.0,495000.0,"4616 Highway 1 Weymouth  NS, Canada",44.41111729197513,-65.99578783018084
5.0,5.0,2700.0,499950.0,"372 ST George St  NS, Canada",44.74240775,-65.51615788104628
2.0,1.0,944.0,174500.0,"111 Lakeshore Dr.  NS, Canada",44.7019098,-63.7284751147736
5.0,3.0,3000.0,1295000.0,"1218 Lake Pleasant Rd  NS, Canada",44.56096552427477,-64.84347120234645
4.0,2.0,4000.0,599000.0,"1734 HWY 1  NS, Canada",43.92664911790661,-66.10820905431348
4.0,2.0,3800.0,849000.0,"58 Pipers Lane  NS, Canada",46.23683339217818,-61.28021017295488
4.0,2.0,2337.0,399000.0,"1579 Cole Harbour Road  NS, Canada",44.6743945,-63.46393094230096
2.0,3.0,2228.0,625000.0,"85 Otter Point Road  NS, Canada",44.58320736,-64.192734
3.0,1.0,1378.0,89500.0,"37 Maillet Road  NS, Canada",46.647378308,-60.98013928
3.0,2.0,2213.0,399900.0,"6 Julies Walk  NS, Canada",44.68546105,-63.66772673926155
4.0,1.0,2447.0,154999.0,"931 Doucetteville Road  NS, Canada",44.45253405206259,-65.81600430481588
2.0,1.0,880.0,157500.0,"22 Century Street  NS, Canada",44.7834012,-63.701700387908495
2.0,1.0,676.0,112500.0,"353 Lower Truro Road  NS, Canada",45.35677344,-63.30078936
3.0,1.0,1091.0,179000.0,"24 LIGHTHOUSE Road  NS, Canada",44.63150612445848,-65.76771370979637
2.0,2.0,1400.0,399900.0,"33 Patton Road  NS, Canada",44.807211,-63.75135237627681
5.0,2.0,1900.0,275000.0,"11 RENDELL Drive  NS, Canada",46.244764571428576,-60.279885
2.0,1.0,748.0,329000.0,"2603 Clementsvale Road  NS, Canada",44.59524772181067,-65.60412267736604
3.0,1.0,980.0,275000.0,"23 Celtic Drive  NS, Canada",44.6774049,-63.550831045202045
3.0,2.0,1610.0,299000.0,"227 Poplar Street  NS, Canada",45.68397167567285,-62.69904306068488
5.0,3.0,2734.0,225000.0,"11 BLOIS Avenue  NS, Canada",45.3559408,-63.2821802
3.0,1.0,1221.0,119900.0,"2 Bent Street  NS, Canada",45.648273,-64.051317
4.0,2.0,3098.0,639900.0,"3738 High Street  NS, Canada",44.6673423,-63.6150985
4.0,4.0,3650.0,640000.0,"192 Robert Street  NS, Canada",44.832768,-63.60059222201069
3.0,2.0,1372.0,209900.0,"4944 Medway River  NS, Canada",,
4.0,3.0,2720.0,599900.0,"2777 Highway 2  NS, Canada",44.7981316,-63.606557235926246
3.0,1.0,750.0,130000.0,"12726 Cabot Trail  NS, Canada",46.5331846,-61.0582503
3.0,3.0,1853.0,219000.0,"9985 Highway 3  NS, Canada",44.41118687155063,-64.34801575522884
3.0,1.0,900.0,199500.0,"18 & 22 Old Redman Road  NS, Canada",46.60492606724686,-61.01756297660959
3.0,2.0,1408.0,262500.0,"145 Briarwood Drive  NS, Canada",44.6155954,-63.4797289
5.0,3.0,2300.0,349000.0,"47 Mill Road  NS, Canada",44.417640952481136,-64.8558650097188
6.0,3.0,2800.0,399900.0,"752 Main Street  NS, Canada",46.2420821,-60.2277087
3.0,3.0,1892.0,475000.0,"363 McGraths Cove Road  NS, Canada",44.50605264174437,-63.84647386487359
3.0,2.0,1788.0,550000.0,"18 Minas View Drive  NS, Canada",45.08854764395769,-64.3528924267455
2.0,1.0,768.0,79200.0,"39 General Avenue  NS, Canada",44.6571416,-63.6448934
3.0,2.0,2961.0,399000.0,"4935 HWY 10  NS, Canada",44.53814734264804,-64.71080182125795
4.0,3.0,3700.0,799900.0,"33 Blue Haven Crescent  NS, Canada",44.55753825,-63.71855702853918
3.0,2.0,1700.0,249000.0,"346 MacCormack Road  NS, Canada",45.6569993,-61.2486645
3.0,2.0,1334.0,369900.0,"53 Perry Crescent  NS, Canada",45.1378917,-63.3562534
3.0,2.0,1316.0,259000.0,"98 Craigs Road  NS, Canada",45.628122700000006,-62.95125040209637
4.0,2.0,2642.0,299900.0,"484 Main Street  NS, Canada",45.7038041,-63.2816374
3.0,2.0,2010.0,1575000.0,"2969 Highway 1  NS, Canada",43.9713313426364,-66.1452351380741
4.0,2.0,1847.0,329000.0,"38 Nichols Avenue  NS, Canada",45.0984414,-64.4885917
3.0,2.0,2300.0,869000.0,"5333 Granville Road  NS, Canada",44.74895675715264,-65.52453250877728
4.0,2.0,1938.0,199000.0,"193 Shore Road  NS, Canada",45.7647305,-62.8328144
2.0,2.0,804.0,309900.0,"12 - 56 Meek Arm Trail Way  NS, Canada",,
3.0,1.0,1224.0,139000.0,"152 Cordova Street  NS, Canada",45.817934,-64.214166
3.0,2.0,2367.0,419000.0,"162 Granite Cove Drive  NS, Canada",44.66515,-63.81503859333333
6.0,3.0,3417.0,539850.0,"1086 Marie Crescent  NS, Canada",,
3.0,2.0,2540.0,699000.0,"7385 Highway 3  NS, Canada",43.5585363,-65.7363019
4.0,2.0,2649.0,799000.0,"3928 201 Highway  NS, Canada",44.82356494116892,-65.30447290375385
2.0,1.0,1127.5,259000.0,"600 Sampson Drive.  NS, Canada",44.976180809090906,-64.9445783909091
2.0,1.0,915.0,195000.0,"6523 16 Highway  NS, Canada",,
3.0,2.0,3482.0,1250000.0,"6 Narrows Lane  NS, Canada",44.73816794038929,-63.30991452140967
5.0,1.0,1214.0,299900.0,"21077 Highway 2  NS, Canada",45.09682983341242,-63.39783035172471
3.0,1.0,924.0,79900.0,"13050 104 Highway  NS, Canada",45.59242358198557,-62.26904841124748
2.0,1.0,948.0,168000.0,"3585 Malagash Rd  NS, Canada",45.77862569062157,-63.29389545974871
3.0,2.0,2540.0,699000.0,"7385 Highway 3  NS, Canada",43.5585363,-65.7363019
5.0,1.0,1829.0,355000.0,"1320  Highway 1 Church Point  NS, Canada",44.31624502656556,-66.11712950454272
3.0,1.0,2323.0,123000.0,"14226 Highway 4  NS, Canada",45.6256311,-63.5571833
3.0,1.0,1720.0,229900.0,"222 Victoria Street E  NS, Canada",45.840229666666666,-64.20133041666666
4.0,2.0,2716.0,373900.0,"106 Silistria Drive  NS, Canada",44.6747839,-63.487236
3.0,2.0,1920.0,219000.0,"3 Park Place  NS, Canada",45.97553169621085,-64.04599450861173
1.0,1.0,455.0,299000.0,"186 Mehlman Road  NS, Canada",43.9500399295069,-64.82810217756646
3.0,2.0,1608.0,350000.0,"1843 Highway 1 Church Point  NS, Canada",44.33906829272966,-66.11394985896561
3.0,1.0,1428.0,344900.0,"49 Katrina Crescent  NS, Canada",44.6110093,-63.6066744
4.0,1.0,1736.0,239000.0,"176 School Street  NS, Canada",44.03740967126617,-64.70683936251937
3.0,1.0,1022.0,110000.0,"519 Highway 8  NS, Canada",44.43639731481481,-65.19429002592592
4.0,1.0,2063.0,339900.0,"40 Carter Road  NS, Canada",45.4375361,-63.4559558
3.0,3.0,3129.0,980000.0,"86 Freddies Lane  NS, Canada",,
3.0,1.0,1200.0,119900.0,"3526 Highway 203  NS, Canada",43.91263030566277,-65.39917039868624
3.0,2.0,2052.0,376000.0,"145 Purdy Drive  NS, Canada",45.34612808571429,-63.28606576666667
5.0,2.0,2066.0,375000.0,"112 Brooklyn Shore Road  NS, Canada",44.05047404406307,-64.68910424036665
4.0,1.0,1691.0,249000.0,"234 Boudreauville Road  NS, Canada",45.5064208,-60.9662349
3.0,1.0,1100.0,249900.0,"1515 Highway 304  NS, Canada",43.80634838210998,-66.15855449579605
3.0,2.0,1440.0,359900.0,"508 Wentworth Road  NS, Canada",44.9925777190242,-64.10070180697205
3.0,1.0,1134.0,220000.0,"2510 Highway 1 Grosses Coques  NS, Canada",44.3635849432476,-66.09094892512816
4.0,2.0,1800.0,359900.0,"4 Vaughne Court  NS, Canada",43.85213808208172,-66.10941126980758
3.0,2.0,1450.0,259000.0,"7 Cooks Road  NS, Canada",43.85121615,-66.11995965
2.0,1.0,730.0,350000.0,"155 Ponhook Shore Road  NS, Canada",44.32692839837626,-64.85187289819585
2.0,2.0,922.0,159000.0,"22 Mann Avenue  NS, Canada",46.23156825442162,-61.30717909616602
